Every 1st line: Acceleration
Every 2nd line: Gyro Measurement
Every 3rd line: Mag
Every 4th line: (Yaw, Pitch, Roll)
(-0.376; 0.199; -9.81)
(0.000922; 0.000275; -0.000966)
(0.3011; 0.0894; 0.3745)
(-18.713; -2.097; -1.219)
(-0.367; 0.223; -9.811)
(-0.000447; -0.000499; -0.001878)
(0.3009; 0.0828; 0.3745)
(-18.743; -2.096; -1.221)
(-0.356; 0.201; -9.833)
(-0.000533; 0.000327; -0.000479)
(0.2986; 0.0908; 0.3744)
(-18.771; -2.096; -1.22)
(-0.388; 0.203; -9.819)
(0.0009; 5.9e-05; -0.000431)
(0.3013; 0.0987; 0.3759)
(-18.786; -2.102; -1.217)
(-0.347; 0.216; -9.841)
(0.000166; -0.000815; -0.000936)
(0.2974; 0.0908; 0.383)
(-18.789; -2.102; -1.216)
(-0.352; 0.19; -9.816)
(-0.00068; 0.000729; -0.000538)
(0.2984; 0.0816; 0.3716)
(-18.82; -2.098; -1.217)
(-0.356; 0.2; -9.815)
(-0.00098; -0.000185; -0.000191)
(0.3013; 0.096; 0.3773)
(-18.829; -2.095; -1.215)
(-0.363; 0.212; -9.778)
(-0.000244; 0.001102; -0.000238)
(0.2985; 0.0882; 0.3687)
(-18.863; -2.091; -1.215)
(-0.355; 0.217; -9.861)
(-0.000727; -0.001026; -0.001204)
(0.2998; 0.0881; 0.3802)
(-18.857; -2.086; -1.215)
(-0.345; 0.227; -9.804)
(-4.7e-05; -0.001198; -0.000874)
(0.3035; 0.0853; 0.3831)
(-18.862; -2.084; -1.215)
(-0.351; 0.19; -9.82)
(-0.000424; -0.001432; -0.001124)
(0.3001; 0.1; 0.3716)
(-18.86; -2.086; -1.213)
(-0.349; 0.198; -9.808)
(-7.5e-05; -4.5e-05; -0.000187)
(0.2997; 0.0828; 0.3788)
(-18.832; -2.086; -1.209)
(-0.355; 0.177; -9.825)
(-7.4e-05; 0.001396; -0.00115)
(0.3001; 0.1001; 0.3687)
(-18.823; -2.083; -1.205)
(-0.377; 0.213; -9.813)
(-0.001852; 0.000506; -0.000994)
(0.3009; 0.0828; 0.3716)
(-18.834; -2.077; -1.205)
(-0.361; 0.222; -9.835)
(-0.000575; -0.000322; -0.000994)
(0.3022; 0.0854; 0.3731)
(-18.819; -2.077; -1.202)
(-0.362; 0.241; -9.799)
(0.003749; 0.003931; -0.001534)
(0.2999; 0.0894; 0.3773)
(-18.807; -2.081; -1.213)
(-0.34; 0.19; -9.818)
(0.002811; 0.001366; 0.000842)
(0.296; 0.0856; 0.3772)
(-18.813; -2.072; -1.194)
(-0.35; 0.187; -9.85)
(-0.00037; 0.000771; -0.000321)
(0.3013; 0.096; 0.3759)
(-18.814; -2.066; -1.179)
(-0.339; 0.205; -9.835)
(-0.000373; 0.001481; -0.001468)
(0.2986; 0.0882; 0.3759)
(-18.809; -2.065; -1.178)
(1.71; -1.089; -9.84)
(-0.074349; 0.168943; 0.719617)
(0.3046; 0.0706; 0.4133)
(-16.384; -1.733; -1.462)
(1.77; 0.88; -9.603)
(0.00897; -0.061616; -1.11512)
(0.2948; 0.0842; 0.3887)
(-18.407; -1.047; -1.561)
(0.739; 0.149; -9.649)
(-0.002554; -0.126748; -0.413159)
(0.2767; 0.1328; 0.308)
(-24.744; -1.428; -1.495)
(1.057; -1.15; -11.185)
(-1.85378; 0.258242; 0.530001)
(0.2798; 0.002; 0.2924)
(-24.88; 1.165; -7.299)
(3.392; 5.144; -9.124)
(-1.44397; 0.796397; 0.211734)
(0.2612; -0.1438; 0.2504)
(-25.628; 6.06; -25.457)
(3.878; 11.317; -11.634)
(-3.15676; 3.06737; 1.62289)
(0.1722; -0.29; 0.1682)
(-36.295; 20.012; -50.946)
(1.78; 8.148; -3.42)
(-3.04117; -2.48608; -1.03908)
(0.2206; -0.3274; 0.0146)
(-30.912; 10.958; -68.865)
(0.669; 6.938; -3.051)
(-0.367871; 0.307206; 4.0563)
(0.1415; -0.3574; -0.1205)
(-19.905; 21.629; -83.848)
(1.64; 5.033; 2.345)
(-1.31479; -2.0307; 0.455103)
(0.0376; -0.3558; -0.1143)
(-18.339; 36.725; -81.904)
(4.466; 7.126; -2.028)
(-1.05726; -7.05927; 1.58624)
(0.0018; -0.335; -0.1137)
(6.894; 35.768; -69.812)
(4.732; 3.008; -6.617)
(1.03988; 1.13462; 5.38032)
(-0.1865; -0.2222; 0.0108)
(64.591; 45.453; -21.415)
(12.402; -4.799; 1.134)
(-0.231216; 0.419918; 3.51042)
(-0.2591; -0.1416; -0.0998)
(82.834; 62.274; -21.854)
(-4.347; 10.046; -7.547)
(-3.14105; 2.88618; -2.02253)
(-0.265; -0.1242; -0.11)
(85.577; 69.541; -8.465)
(5.778; -8.04; -2.593)
(-1.71767; 2.28903; -2.41637)
(-0.2455; -0.1377; -0.1511)
(72.052; 75.435; -26.227)
(-16.273; 9.373; 29.681)
(-1.90693; -6.61117; 3.37812)
(-0.1918; -0.1146; -0.2831)
(-2.376; 78.974; -119.083)
(-2.16; 15.525; -43.465)
(-1.7557; 7.91081; -4.27659)
(-0.2395; -0.0416; 0.0854)
(131.518; 28.537; -12.194)
(-34.33; 3.976; 67.376)
(8.32644; -1.46102; 9.06562)
(-0.0984; -0.1179; -0.377)
(-22.291; 61.339; -148.469)
(-58.706; 52.375; -27.688)
(-11.7857; -15.469; -14.3978)
(-0.0597; -0.3142; 0.0038)
(136.409; -10.923; -70.771)
(-27.71; -14.788; -14.829)
(13.0221; 7.57003; 14.6861)
(-0.2888; -0.0165; -0.1178)
(132.419; 53.762; -90.747)
(-7.154; 10.54; 28.399)
(2.96195; -5.32514; 1.51936)
(0.0224; -0.2657; -0.3125)
(16.691; 32.979; -104.416)
(-63.557; 39.12; -9.409)
(-5.07718; -10.756; -19.4599)
(0.093; -0.3251; -0.2048)
(145.554; -34.795; -111.577)
(-54.282; -8.576; -8.927)
(11.7194; 10.9842; 21.0156)
(-0.2596; -0.0271; -0.2375)
(114.11; 41.854; -122.141)
(-25.372; 36.255; 35.944)
(2.51167; 5.76994; 1.98524)
(0.3731; -0.2001; -0.1152)
(-27.593; -21.003; -98.279)
(-58.447; 1.907; -14.585)
(-15.6661; -22.7945; -10.0288)
(-0.1438; -0.2763; -0.1945)
(96.994; 13.821; -80.064)
(-30.642; 20.396; -12.095)
(2.18123; 0.278984; 22.3668)
(-0.0764; -0.2819; -0.2274)
(155.928; -4.737; -121.443)
(-70.506; 11.097; 20.791)
(11.8877; 23.6189; -9.07348)
(0.2602; -0.2249; -0.2884)
(0.88; -3.525; -111.539)
(-42.335; 4.194; -0.613)
(-0.230562; -21.3628; 12.026)
(0.0653; -0.3255; -0.2326)
(20.025; 26.095; -87.261)
(-55.864; 37.759; -18.896)
(-2.74839; -10.021; -17.8478)
(0.1905; -0.298; -0.1223)
(-177.744; -45.082; -115.842)
(-46.321; -8.15; -10.109)
(5.99899; 13.3179; 18.803)
(-0.2633; -0.0866; -0.2046)
(130.771; 33.191; -116.994)
(-51.21; 39.809; 31.202)
(-0.085429; 13.7299; -8.31887)
(0.4432; -0.0653; -0.0134)
(-34.09; -43.612; -73.857)
(-46.958; -7.184; -2.218)
(-2.80677; -19.5781; 14.24)
(-0.1075; -0.2704; -0.2381)
